name	id	definition	comment	broad	exact	related
mast cell	CL_0000097	A cell that is found in almost all tissues containing numerous basophilic granules and capable of releasing large amounts of histamine and heparin upon activation. Progenitors leave bone marrow and mature in connective and mucosal tissue. Mature mast cells are found in all tissues, except the bloodstream. Their phenotype is CD117-high, CD123-negative, CD193-positive, CD200R3-positive, and FceRI-high. Stem-cell factor (KIT-ligand; SCF) is the main controlling signal of their survival and development.	Mast cells are generally integrin beta-7-negative and positive for TLR2, TLR3, TLR4, TLR5, TLR7, TLR9, C3aR, C5aR, CR3, CR4, VEGF, FGF2, and renin. They can express MHC Class I and II on their surface. Activated murine mast cells (IgE+Antigen) were capable of expressing the following co-stimulatory molecules: CD95 (Fas), CD120b, CD137 (4-1BB), CD153 (CD30L), CD154 (CD40L), GITR, ICOSL, OX40L, PD-L1, and PD-L2. Note that there was some mouse strain variation. Mast cells have also been demonstrated to produce bFGF, CCL2, CCL4, CCL5, CCL11, CCL20, CXCL2, CXCL8, CXCL10, GM-CSF, IFN-gamma, IL-1, IL-2, IL-3, IL-8, IL-10, IL-11, IL-12, IL-13, IL-16, IL-25, IL-18, MIP-1, prostaglandin D2, SCF, TGF-beta, TNF-alpha, TSLP, VEGF, and XCL1. They express the transcription factors Transcription factors AP-1, GATA1, MITF, Notch2, PIAS3, PU.1, and STAT5.		histaminocyte|labrocyte|mastocyte	tissue basophil
sensory epithelial cell	CL_0000098	A specialized epithelial cell involved in sensory perception. Restricted to special sense organs of the olfactory, gustatory, and vestibulocochlear receptor systems; contain sensory cells surrounded by supportive, non-receptive cells.	The term "neuroepithelial cell" is used to describe both this cell type and neurecto-epithelial cell (CL:0000710).	neuroepithelial cell		
interneuron	CL_0000099	Most generally any neuron which is not motor or sensory. Interneurons may also refer to neurons whose axons remain within a particular brain region as contrasted with projection neurons which have axons projecting to other brain regions.				
motor neuron	CL_0000100	An efferent neuron that passes from the central nervous system or a ganglion toward or to a muscle and conducts an impulse that causes or inhibits movement.			motoneuron	
sensory neuron	CL_0000101	Any neuron having a sensory function; an afferent neuron conveying sensory impulses.				
polymodal neuron	CL_0000102					
bipolar neuron	CL_0000103	A type of interneuron that has two neurites, usually an axon and a dendrite, extending from opposite poles of an ovoid cell body.				
multipolar neuron	CL_0000104	Neuron with an axon and two or more dendrites.				
pseudounipolar neuron	CL_0000105	Neuron with two neurites that are fused grossly when they protrude from the soma and bifurcate a short distance from the soma.				
unipolar neuron	CL_0000106	Neuron with one neurite that extends from the cell body.				
autonomic neuron	CL_0000107	A neruon whose cell body is within an autonomic ganglion.				
cholinergic neuron	CL_0000108	A neuron that uses acetylcholine as a vesicular neurotransmitter.				
adrenergic neuron	CL_0000109					
peptidergic neuron	CL_0000110					
peripheral neuron	CL_0000111	A neuron that is part of nerve found outside the central nervous system.				
columnar neuron	CL_0000112					columnar neuron
mononuclear phagocyte	CL_0000113	A vertebrate phagocyte with a single nucleus.				
surface ectodermal cell	CL_0000114				cell of surface ectoderm|surface ectoderm cell	
endothelial cell	CL_0000115	An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. In mammals, endothelial cell has vimentin filaments and is derived from the mesoderm.	From FMA: 9.07.2001: Endothelial cell has always been classified as a kind of epithelial cell, specifically a squamous cell but that is not true. First, endothelial cell can either be squamous or cuboidal (e.g. high-endothelial cell) and secondly, it has different embryological derivation (mesodermal) than a true epithelial cell (ectodermal and endodermal). The basis for present classification is the fact that it comprises the outermost layer or lining of anatomical structures (location-based) but a better structural basis for the differentia is the cytoskeleton of the cell. Endothelial cell has vimentin filaments while an epithelial cell has keratin filaments. [Onard].		endotheliocyte	
pioneer neuron	CL_0000116	Pioneer neurons establish a pathway in the developing central nervous system and then undergo programmed cell death once the adult axons, which follow them, have made connections with the target site. Thus, they are a transient cell type involved in axon guidance.				
CNS neuron (sensu Vertebrata)	CL_0000117					
basket cell	CL_0000118					
cerebellar Golgi cell	CL_0000119	Large intrinsic neuron located in the granule layer of the cerebellar cortex that extends its dendrites into the molecular layer where they receive contact from parallel fibers. The axon of the Golgi cell enters ramifies densely in the granule layer and enters into a complex arrangement with mossy fiber terminals and granule cell dendrites to form the cerebellar glomerulus. Llinas, Walton and Lang. In The Synaptic Organization of the Brain. 5th ed. 2004.			cerebellum Golgi cell|Golgi cell|Golgi neuron|cerebellar Golgi neuron	
granule cell	CL_0000120					
Purkinje cell	CL_0000121	The output neuron of the cerebellar cortex.			cerebellum Purkinje cell|Purkinje neuron|cerebellar Purkinje cell|Purkinje's cell	
stellate neuron	CL_0000122					
neuron associated cell (sensu Vertebrata)	CL_0000123					
obsolete glial cell (sensu Nematoda and Protostomia)	CL_0000124		This is a grouping class that is no longer needed or wanted.			
glial cell	CL_0000125	A non-neuronal cell of the nervous system. They not only provide physical support, but also respond to injury, regulate the ionic and chemical composition of the extracellular milieu. Guide neuronal migration during development, and exchange metabolites with neurons.	It is unclear that all glial cells develop from a cell type called a glioblast. Radial glial cells develop from neuroepithelial cells and other types of glial cells develop from other precursors. Unless glioblast is meant to describe any cell that can give rise to a glial cell, this relationship needs further investigation.		neuroglial cell	neuroglia
macroglial cell	CL_0000126	A neuroglial cell of ectodermal origin, i.e., the astrocytes and oligodendrocytes considered together.			macrogliocyte	
astrocyte	CL_0000127	A class of large neuroglial (macroglial) cells in the central nervous system - the largest and most numerous neuroglial cells in the brain and spinal cord. Astrocytes (from 'star' cells) are irregularly shaped with many long processes, including those with 'end feet' which form the glial (limiting) membrane and directly and indirectly contribute to the blood-brain barrier. They regulate the extracellular ionic and chemical environment, and 'reactive astrocytes' (along with microglia) respond to injury.	Astrocytes are reportedly CD68-negative, CD121a-positive, CD184-positive, CD192-positive, CRF-positive, EGFR-positive, GFAP-positive, GLUT1-positive, MBP-negative, and NGFR-positive.		astrocytic glia	
oligodendrocyte	CL_0000128	A class of large neuroglial (macroglial) cells in the central nervous system. Form the insulating myelin sheath of axons in the central nervous system.	Oligodendrocytes are reportedly MDP-positive and CD4-negative.		OLs	oligodendroglia
microglial cell	CL_0000129	A central nervous system macrophage found in the parenchyma of the central nervous system. Marker include CD11b-positive, F4/80-positive, and CD68-positive.	Markers: Mouse: CD11b+, F4/80+, CD68+. They represent ~12% of the cells in the CNS, but they are not uniformly distributed within the CNS. A normal adult mouse brain has approximately 3.5x10e6 microglia. Microglia are also reportedly CD3-negative, CD4-positive, CD8-negative, CD11b-positive, CD11c-high, CD14-negative, CD19-negative, CD45-low, CD56-negative, CD163-negative, CD200R-positive, CD281-positive, CD282-positive, CD283-positive, CD284-positive, CD285-positive, CD286-positive, CD287-positive, CD288-positive, CD289-positive, Gr1-negative, nestin-positive, and PU.1-positive.	brain macrophage	hortega cells|microgliocyte|microglia|brain-resident macrophage	MF.microglia.CNS
gut endothelial cell	CL_0000131					
corneal endothelial cell	CL_0000132	Cell of the single layer of large flattened cells covering the surface of the cornea.				
neurectodermal cell	CL_0000133	Ectoderm destined to be nervous tissue.			neurectoderm cell	
mesenchymal stem cell	CL_0000134	A connective tissue cell that normally gives rise to other cells that are organized as three-dimensional masses. In humans, this cell type is CD73-positive, CD90-positive, CD105-positive, CD45-negative, CD34-negative, and MHCII-negative. They may further differentiate into osteoblasts, adipocytes, myocytes, neurons, or chondroblasts in vitro. Originally described as residing in the bone marrow, this cell type is now known to reside in many, if not all, adult organs.	Many but not all mesenchymal cells derive from the mesoderm. MSCs are reportedly CD3-negative, CD4-negative, CD5-negative, CD8-negative, CD11a-negative, CD11b-negative, CD14-negative, CD19-negative, CD29-positive, CD31-negative, CD34-negative, CD38-negative, CD40-negative, CD44-positive, CD45-negative, CD49-positive, CD54-positive, CD66b-negative, CD79a-negative, CD80-negative, CD102-positive, CD106-positive, CD117-positive, CD121a-positive, CD121b-positive, CD123-positive, CD124-positive, CD133-negative, CD146-positive, CD166-positive, CD271-positive, B220-negative, Gr1-negative, MHCI-positive, MHCII-negative, SSEA4-negative, sca1-positive, Ter119-negative, and glycophorin A-negative. Cultured MSCs are capable of producing stem cell factor, IL7, IL8, IL11, TGF-beta, cofilin, galectin-1, laminin-receptor 1, cyclophilin A, and MMP-2.			mesenchymal stem cell|mesenchymal progenitor cells|mesenchymal stromal cells|mesenchymal precursor cell|CFU-F|stem cells, mesenchymal|mesenchymal stromal cell|MSC
fibrocyte	CL_0000135	An inactive fibroblast; cytoplasm is sparse, endoplasmic reticulum is scanty with flattened nucleus. Term used by some histologists; when fibroblasts become relatively inactive in fiber formation. However, this cell has the potential for fibrogenesis in quiescent connective tissue of the adult, as well as during development, other histologists prefer to use the term fibroblast in all circumstances. These cells represent ~0.5% of peripheral blood leukocytes.	Cultured human fibrocytes are MHCI-positive, MHCII-positive, CD1a-negative, CD3-negative, CD4-negative, CD8-negative, CD10-negative, CD11b-positive, CD13-positive, CD14-negative, CD16-negative, CD18-positive, CD19-negative, CD25-negative, CD29-positive, CD32-positive, CD33-negative, CD34-positive, CD38-negative, CD40-positive, CD44-negative, CD45RO-positive, CD49a-positive, CD49b-positive, CD49c-negative, CD49d-negative, CD49e-positive, CD49f-negative, CD56-negative, CD58-positive, CD61-positive, CD64-positive, CD70-negative, CD71-positive, CD80-positive, CD83-negative, CD86-positive, CD103-negative, CD105-positive, CD181-positive, CD182-negative, CD183-positive, CD184-positive, CD185-negative, CD186-negative, CD191-positive, CD192-negative, CD193-positive, CD194-positive, CD195-positive, CD196-negative, CD197-positive, CD199-positive, desmin-negative, F4/80-positive, Gr1-positive, LSP-1-positive, MHCI-positive, MHCII-positive, alpha-SMA-negative, TCRab-negative, TCRgd-negative, and vimentin-positive. Fibrocytes are also capable of secreting angiogenin, bFGF, CCL2, CCL3, CCL4, CCL8, CXCL1, type I collagen, type III collagen, CTGF, fibronectin, GM-CSF, IL-1a, IL-6, IL-8, IL-10, M-CSF, MMP-9, PDGF-A, TGF-alpha, TGF-beta1, TNF-alpha, and VEGF-A.			
